English Security						en	(English)
English General							az	(AzerbaijanAr)
English Readisol                        bo  (Tibetan)
Danish									da	(Danish)
Danish (david partner)					ug	(Uighur)
Greek - Security						hy	(Armenian)
Greek - General							el	(Greek)							
Spanish	(proxirealtime)					es	(Spanish)
Spanish	(followmystaff)					su	(SundaneseRom)
Italian									it	(Italian)
French									fr	(French)
Portuguese								pt	(Portuguese)
Russian									ru	(Russian)
Lithuanian								lt	(Lithuanian)
Latvian									lv	(Latvian)
Estonian								et	(Estonian)
Hebrew									he	(Hebrew)
German									de	(German)
Korean                                  ko  (Korean)
Arabic(Egypt)                           nb  (Arabic)
Romanian                                ro  (Romanian)
Indonesian                              id  (Indonesian)
